,player,team,year,injured,previous
1071,Homer Bailey,Cincinnati Reds,2011,yes,yes
1072,Johnny Cueto,Cincinnati Reds,2011,yes,yes
1073,Jared Burton,Cincinnati Reds,2011,yes,yes
1074,Vicente Padilla,Los Angeles Dodgers,2011,yes,yes
1075,Lance Cormier,Los Angeles Dodgers,2011,yes,yes
1076,Mike MacDougal,Los Angeles Dodgers,2011,yes,no
1077,Zach Duke,Arizona Diamondbacks,2011,yes,yes
1078,Andrew Bailey,Oakland Athletics,2011,yes,yes
1079,Rich Harden,Oakland Athletics,2011,yes,yes
1080,Brad Lidge,Philadelphia Phillies,2011,yes,yes
1081,Jake Peavy,Chicago White Sox,2011,yes,yes
1082,David Aardsma,Seattle Mariners,2011,yes,no
1083,Brian Wilson,San Francisco Giants,2011,yes,no
1084,Frank Francisco,Toronto Blue Jays,2011,yes,yes
1085,Octavio Dotel,Toronto Blue Jays,2011,yes,no
1086,Brandon Morrow,Toronto Blue Jays,2011,yes,yes
1087,Chad Gaudin,Washington Nationals,2011,yes,yes
1088,Francisco Rodriguez,New York Mets,2011,yes,yes
1089,Jon Garland,Los Angeles Dodgers,2011,yes,yes
1090,Pedro Feliciano,New York Yankees,2011,yes,no
1091,Jose Ascanio,Pittsburgh Pirates,2011,yes,yes
1092,Johan Santana,New York Mets,2011,yes,yes
1093,Felix Doubront,Boston Red Sox,2011,yes,no
1094,Alberto Arias,Houston Astros,2011,yes,yes
1095,Omar Beltre,Texas Rangers,2011,yes,yes
1096,Scott Feldman,Texas Rangers,2011,yes,yes
1097,Tommy Hunter,Texas Rangers,2011,yes,yes
1098,Brandon Webb,Texas Rangers,2011,yes,yes
1099,Scott Olsen,Pittsburgh Pirates,2011,yes,yes
1100,Aaron Cook,Colorado Rockies,2011,yes,yes
1101,J.P. Howell,Tampa Bay Rays,2011,yes,yes
1102,Brad Lincoln,Pittsburgh Pirates,2011,yes,no
1103,Jair Jurrjens,Atlanta Braves,2011,yes,yes
1104,Brian Matusz,Baltimore Orioles,2011,yes,no
1106,Takashi Saito,Milwaukee Brewers,2011,yes,yes
1107,Michael Wuertz,Oakland Athletics,2011,yes,yes
1108,Ryan Perry,Detroit Tigers,2011,yes,yes
1109,Jeff Stevens,Chicago Cubs,2011,yes,no
1110,Randy Wells,Chicago Cubs,2011,yes,no
1111,Andrew Cashner,Chicago Cubs,2011,yes,no
1113,Matt Albers,Boston Red Sox,2011,yes,no
1115,Scott Kazmir,Los Angeles Angels,2011,yes,yes
1116,Kevin Slowey,Minnesota Twins,2011,yes,yes
1117,Ross Ohlendorf,Pittsburgh Pirates,2011,yes,yes
1119,Luis Ayala,New York Yankees,2011,yes,no
1120,Brad Bergesen,Baltimore Orioles,2011,yes,yes
1121,Brian Tallet,St. Louis Cardinals,2011,yes,yes
1122,Bryan Augenstein,St. Louis Cardinals,2011,yes,no
1123,Robinson Tejeda,Kansas City Royals,2011,yes,yes
1124,Phil Hughes,New York Yankees,2011,yes,no
1125,Peter Moylan,Atlanta Braves,2011,yes,yes
1127,Aaron Heilman,Arizona Diamondbacks,2011,yes,no
1128,Wilton Lopez,Houston Astros,2011,yes,no
1131,Hung-Chih Kuo,Los Angeles Dodgers,2011,yes,yes
1132,Chris Young,New York Mets,2011,yes,yes
1133,Mitch Talbot,Cleveland Indians,2011,yes,yes
1134,Barry Zito,San Francisco Giants,2011,yes,yes
1135,Todd Coffey,Washington Nationals,2011,yes,yes
1136,Colby Lewis,Texas Rangers,2011,yes,no
1137,Dallas Braden,Oakland Athletics,2011,yes,yes
1138,Shaun Marcum,Milwaukee Brewers,2011,yes,yes
1139,J.C. Romero,Philadelphia Phillies,2011,yes,yes
1141,Mason Tobin,Texas Rangers,2011,yes,no
1142,Bobby Parnell,New York Mets,2011,yes,no
1148,Neftali Feliz,Texas Rangers,2011,yes,no
1150,Jose Contreras,Philadelphia Phillies,2011,yes,yes
1155,Darren O'Day,Texas Rangers,2011,yes,no
1157,Carlos Carrasco,Cleveland Indians,2011,yes,no
1159,Joe Blanton,Philadelphia Phillies,2011,yes,yes
1160,Evan Meek,Pittsburgh Pirates,2011,yes,yes
1163,Zach Braddock,Milwaukee Brewers,2011,yes,no
1165,Pedro Beato,New York Mets,2011,yes,no
1166,Brandon Lyon,Houston Astros,2011,yes,no
1169,Dan Wheeler,Boston Red Sox,2011,yes,no
1170,Bobby Jenks,Boston Red Sox,2011,yes,yes
1172,Jonathan Broxton,Los Angeles Dodgers,2011,yes,no
1173,Jeff Niemann,Tampa Bay Rays,2011,yes,yes
1174,Clay Hensley,Florida Marlins,2011,yes,yes
1175,Roy Oswalt,Philadelphia Phillies,2011,yes,yes
1177,Esmil Rogers,Colorado Rockies,2011,yes,no
1181,Javier Vazquez,Florida Marlins,2011,yes,yes
1187,Bruce Chen,Kansas City Royals,2011,yes,yes
1188,Francisco Rodriguez,Los Angeles Angels,2011,yes,yes
1191,Brandon Kintzler,Milwaukee Brewers,2011,yes,no
1193,Blake Hawksworth,Los Angeles Dodgers,2011,yes,no
1194,Jose Mijares,Minnesota Twins,2011,yes,yes
1195,Brandon Beachy,Atlanta Braves,2011,yes,no
1196,John Lackey,Boston Red Sox,2011,yes,yes
1198,Aroldis Chapman,Cincinnati Reds,2011,yes,no
1199,Rafael Soriano,New York Yankees,2011,yes,no
1200,Mitch Stetter,Milwaukee Brewers,2011,yes,yes
1202,Daisuke Matsuzaka,Boston Red Sox,2011,yes,yes
1203,Kyle Davies,Kansas City Royals,2011,yes,no
1204,Chris Jakubauskas,Baltimore Orioles,2011,yes,yes
1207,Jesse Litsch,Toronto Blue Jays,2011,yes,yes
1209,Brandon McCarthy,Oakland Athletics,2011,yes,yes
1211,Alex White,Cleveland Indians,2011,yes,no
1213,Josh Johnson,Florida Marlins,2011,yes,no
1214,Brad Thomas,Detroit Tigers,2011,yes,no
1215,Glen Perkins,Minnesota Twins,2011,yes,yes
1219,Phil Coke,Detroit Tigers,2011,yes,no
1220,Matt Garza,Chicago Cubs,2011,yes,no
1221,Sam Demel,Arizona Diamondbacks,2011,yes,no
1222,Jorge De La Rosa,Colorado Rockies,2011,yes,yes
1225,Juan Gutierrez,Arizona Diamondbacks,2011,yes,yes
1227,Matt Maloney,Cincinnati Reds,2011,yes,yes
1229,Joe Beimel,Pittsburgh Pirates,2011,yes,yes
1230,Santiago Casilla,San Francisco Giants,2011,yes,yes
1232,Joe Nathan,Minnesota Twins,2011,yes,yes
1233,Tom Gorzelanny,Washington Nationals,2011,yes,no
1234,Wandy Rodriguez,Houston Astros,2011,yes,no
1235,Franklin Morales,Boston Red Sox,2011,yes,yes
1236,Sam LeCure,Cincinnati Reds,2011,yes,yes
1237,Ramon Pena,Chicago White Sox,2011,yes,no
1238,Kenley Jansen,Los Angeles Dodgers,2011,yes,no
1241,Francisco Liriano,Minnesota Twins,2011,yes,yes
1243,Kyle McClellan,St. Louis Cardinals,2011,yes,no
1244,Taylor Buchholz,New York Mets,2011,yes,yes
1245,Rich Hill,Boston Red Sox,2011,yes,yes
1247,Doug Slaten,Washington Nationals,2011,yes,no
1249,Matt Daley,Colorado Rockies,2011,yes,yes
1250,Grant Balfour,Oakland Athletics,2011,yes,yes
1252,David Purcey,Detroit Tigers,2011,yes,yes
1255,Daryl Thompson,Cincinnati Reds,2011,yes,no
1257,Brett Anderson,Oakland Athletics,2011,yes,yes
1262,Joba Chamberlain,New York Yankees,2011,yes,no
1263,Luke Gregerson,San Diego Padres,2011,yes,yes
1265,Cole Kimball,Washington Nationals,2011,yes,no
1267,Bartolo Colon,New York Yankees,2011,yes,yes
1268,Amauri Sanit,New York Yankees,2011,yes,no
1269,Aaron Harang,San Diego Padres,2011,yes,yes
1270,Kerry Wood,Chicago Cubs,2011,yes,yes
1271,Fernando Rodney,Los Angeles Angels,2011,yes,no
1275,Casey Janssen,Toronto Blue Jays,2011,yes,yes
1276,Eduardo Sanchez,St. Louis Cardinals,2011,yes,no
1278,Tommy Hanson,Atlanta Braves,2011,yes,no
1280,Clay Buchholz,Boston Red Sox,2011,yes,yes
1284,Jeff Marquez,New York Yankees,2011,yes,no
1294,Jonathan Sanchez,San Francisco Giants,2011,yes,no
1296,John Danks,Chicago White Sox,2011,yes,no
1297,Ryan Madson,Philadelphia Phillies,2011,yes,yes
1302,Erik Bedard,Seattle Mariners,2011,yes,yes
1304,Chris Perez,Cleveland Indians,2011,yes,yes
1305,Al Alburquerque,Detroit Tigers,2011,yes,no
1307,Edgmer Escalona,Colorado Rockies,2011,yes,no
1309,Carlos Zambrano,Chicago Cubs,2011,yes,yes
1310,J.J. Putz,Arizona Diamondbacks,2011,yes,yes
1311,Ryan Webb,Florida Marlins,2011,yes,no
1315,Roberto Hernandez,Cleveland Indians,2011,yes,no
1317,Marcos Mateo,Chicago Cubs,2011,yes,no
1318,Clayton Richard,San Diego Padres,2011,yes,no
1319,Jon Lester,Boston Red Sox,2011,yes,no
1321,Wade Davis,Tampa Bay Rays,2011,yes,yes
1331,Scott Baker,Minnesota Twins,2011,yes,yes
1332,Juan Cruz,Tampa Bay Rays,2011,yes,yes
1337,Sergio Mitre,New York Yankees,2011,yes,yes
1340,Cristhian Martinez,Atlanta Braves,2011,yes,no
1346,Chris Leroux,Pittsburgh Pirates,2011,yes,yes
1347,Trever Miller,Toronto Blue Jays,2011,yes,no
1348,Ernesto Frieri,San Diego Padres,2011,yes,no
1352,Alberto Castillo,Arizona Diamondbacks,2011,yes,no
1354,Wade LeBlanc,San Diego Padres,2011,yes,no
1355,Dustin Moseley,San Diego Padres,2011,yes,yes
1357,Brad Ziegler,Arizona Diamondbacks,2011,yes,no
1358,Jason Marquis,Arizona Diamondbacks,2011,yes,yes
1360,Chris Ray,Seattle Mariners,2011,yes,yes
1361,Rubby De La Rosa,Los Angeles Dodgers,2011,yes,no
1362,Scott Linebrink,Atlanta Braves,2011,yes,no
1364,David Pauley,Detroit Tigers,2011,yes,yes
1366,Mike Adams,Texas Rangers,2011,yes,yes
1367,Ubaldo Jimenez,Cleveland Indians,2011,yes,no
1368,Jo-Jo Reyes,Baltimore Orioles,2011,yes,yes
1369,Doug Fister,Detroit Tigers,2011,yes,yes
1371,Carlos Villanueva,Toronto Blue Jays,2011,yes,no
1372,Zach Britton,Baltimore Orioles,2011,yes,no
1375,Juan Nicasio,Colorado Rockies,2011,yes,no
1376,Enerio Del Rosario,Houston Astros,2011,yes,no
1377,Jake Arrieta,Baltimore Orioles,2011,yes,no
1379,Alex Cobb,Tampa Bay Rays,2011,yes,no
1382,Alexi Ogando,Texas Rangers,2011,yes,no
1383,Logan Ondrusek,Cincinnati Reds,2011,yes,no
1384,Matt Lindstrom,Colorado Rockies,2011,yes,yes
1385,Lance Lynn,St. Louis Cardinals,2011,yes,no
1386,Chris Narveson,Milwaukee Brewers,2011,yes,no
1387,Huston Street,Colorado Rockies,2011,yes,yes
1389,Jered Weaver,Los Angeles Angels,2011,yes,yes
1391,David Huff,Cleveland Indians,2011,yes,no
1394,Sergio Romo,San Francisco Giants,2011,yes,yes
1395,Jon Rauch,Toronto Blue Jays,2011,yes,no
1396,Garrett Richards,Los Angeles Angels,2011,yes,no
1397,Brian Sanches,Florida Marlins,2011,yes,yes
1398,Trystan Magnuson,Oakland Athletics,2011,yes,no
1399,Randy Choate,Florida Marlins,2011,yes,no
1400,Freddy Garcia,New York Yankees,2011,yes,no
1401,Paul Maholm,Pittsburgh Pirates,2011,yes,no
1402,Philip Humber,Chicago White Sox,2011,yes,no
1406,Kevin Correia,Pittsburgh Pirates,2011,yes,yes
1408,Nick Blackburn,Minnesota Twins,2011,yes,no
1410,Jason Berken,Baltimore Orioles,2011,yes,yes
1412,Cole Hamels,Philadelphia Phillies,2011,yes,no
1413,Jonathon Niese,New York Mets,2011,yes,yes
1414,Sergio Escalona,Houston Astros,2011,yes,yes
1415,Dan Cortes,Seattle Mariners,2011,yes,no
1417,Ryan Mattheus,Washington Nationals,2011,yes,no
1420,Josh Tomlin,Cleveland Indians,2011,yes,no
1421,Troy Patton,Baltimore Orioles,2011,yes,no
1423,Brian Tallet,Toronto Blue Jays,2011,yes,yes
1428,Brian Fuentes,Oakland Athletics,2011,yes,yes
1429,George Sherrill,Atlanta Braves,2011,yes,yes
1434,Michael Gonzalez,Texas Rangers,2011,yes,yes
1435,Jeff Fulchino,San Diego Padres,2011,yes,yes
1442,Matt Guerrier,Los Angeles Dodgers,2011,yes,no
1443,Kyle Kendrick,Philadelphia Phillies,2011,yes,yes
1455,Juan Carlos Oviedo,Florida Marlins,2011,yes,no
1459,Mike Zagurski,Arizona Diamondbacks,2011,yes,no
1460,Joey Devine,Oakland Athletics,2011,yes,yes
1464,Pedro Viola,Baltimore Orioles,2011,yes,no
1466,Henry Villar,Houston Astros,2011,yes,no
1467,Alan Farina,Toronto Blue Jays,2011,yes,no
1473,Jordan Smith,Cincinnati Reds,2011,yes,no
1474,Kelvin De La Cruz,Cleveland Indians,2011,yes,no
1475,Jordan Norberto,Oakland Athletics,2011,yes,no
1476,Nate Jones,Chicago White Sox,2011,yes,no
1477,Elih Villanueva,Florida Marlins,2011,yes,no
1478,Michael Kohn,Los Angeles Angels,2011,yes,no
1479,Anthony Ortega,Los Angeles Angels,2011,yes,yes
1480,Andrew Brackman,New York Yankees,2011,yes,no
1482,Kevin Whelan,New York Yankees,2011,yes,no
1483,Yoshinori Tateyama,Texas Rangers,2011,yes,no
1487,Kam Mickolio,Arizona Diamondbacks,2011,yes,yes
1488,Wade Miley,Arizona Diamondbacks,2011,yes,no
1489,Justin DeFratus,Philadelphia Phillies,2011,yes,no
1490,David Herndon,Philadelphia Phillies,2011,yes,yes
1491,Scott Mathieson,Philadelphia Phillies,2011,yes,yes
1494,Luis Marte,Detroit Tigers,2011,yes,no
1496,Jake Westbrook,St. Louis Cardinals,2011,yes,no
1498,Mark Lowe,Texas Rangers,2011,yes,yes
1516,Koji Uehara,Texas Rangers,2011,yes,yes
1523,Sean Marshall,Cincinnati Reds,2011,yes,no
1524,Roberto Hernandez,Cleveland Indians,2012,yes,yes
1525,Bobby Jenks,Boston Red Sox,2012,yes,yes
1526,Pedro Feliciano,New York Yankees,2012,yes,yes
1527,John Lackey,Boston Red Sox,2012,yes,yes
1528,Rubby De La Rosa,Los Angeles Dodgers,2012,yes,yes
1529,David Aardsma,New York Yankees,2012,yes,yes
1530,Brett Anderson,Oakland Athletics,2012,yes,yes
1531,Carlos Carrasco,Cleveland Indians,2012,yes,yes
1532,Ronald Belisario,Los Angeles Dodgers,2012,yes,yes
1533,Zach Britton,Baltimore Orioles,2012,yes,yes
1534,Kevin Millwood,Seattle Mariners,2012,yes,yes
1535,Scott Baker,Minnesota Twins,2012,yes,yes
1536,Dallas Braden,Oakland Athletics,2012,yes,yes
1537,Joey Devine,Oakland Athletics,2012,yes,yes
1538,Jason Isringhausen,Los Angeles Angels,2012,yes,yes
1539,Matt Bush,Tampa Bay Rays,2012,yes,no
1540,Ryan Vogelsong,San Francisco Giants,2012,yes,no
1541,Eric Surkamp,San Francisco Giants,2012,yes,no
1542,Chad Gaudin,Miami Marlins,2012,yes,yes
1543,Jose De Paula,San Diego Padres,2012,yes,no
1544,Chris Carpenter,St. Louis Cardinals,2012,yes,yes
1545,Robert Fish,Atlanta Braves,2012,yes,no
1546,Drew Storen,Washington Nationals,2012,yes,no
1547,Chien-Ming Wang,Washington Nationals,2012,yes,yes
1548,Cole Kimball,Washington Nationals,2012,yes,yes
1549,Jose Contreras,Philadelphia Phillies,2012,yes,yes
1550,Justin DeFratus,Philadelphia Phillies,2012,yes,yes
1551,Jerome Williams,Los Angeles Angels,2012,yes,no
1552,Shawn Camp,Chicago Cubs,2012,yes,no
1553,Luis Marte,Detroit Tigers,2012,yes,yes
1554,Jose Ceda,Miami Marlins,2012,yes,no
1555,Robbie Ross Jr.,Texas Rangers,2012,yes,no
1556,Takashi Saito,Arizona Diamondbacks,2012,yes,yes
1557,Tim Hudson,Atlanta Braves,2012,yes,yes
1558,Pedro Beato,New York Mets,2012,yes,yes
1559,D.J. Carrasco,New York Mets,2012,yes,no
1560,Tsuyoshi Wada,Baltimore Orioles,2012,yes,no
1561,Al Alburquerque,Detroit Tigers,2012,yes,yes
1562,Felipe Paulino,Kansas City Royals,2012,yes,yes
1563,Joakim Soria,Kansas City Royals,2012,yes,yes
1564,Blake Wood,Kansas City Royals,2012,yes,no
1565,Jesse Litsch,Toronto Blue Jays,2012,yes,yes
1566,Dustin McGowan,Toronto Blue Jays,2012,yes,yes
1567,Andrew Bailey,Boston Red Sox,2012,yes,yes
1568,Scott Atchison,Boston Red Sox,2012,yes,no
1569,Vicente Padilla,Boston Red Sox,2012,yes,yes
1570,Joba Chamberlain,New York Yankees,2012,yes,yes
1571,Cesar Cabral,New York Yankees,2012,yes,no
1572,Michael Pineda,New York Yankees,2012,yes,no
1573,Nick Masset,Cincinnati Reds,2012,yes,yes
1574,Rich Hill,Boston Red Sox,2012,yes,yes
1575,Daisuke Matsuzaka,Boston Red Sox,2012,yes,yes
1576,Andrew Miller,Boston Red Sox,2012,yes,yes
1577,Michael Kohn,Los Angeles Angels,2012,yes,yes
1578,Juan Cruz,Pittsburgh Pirates,2012,yes,yes
1579,A.J. Burnett,Pittsburgh Pirates,2012,yes,no
1580,Charlie Morton,Pittsburgh Pirates,2012,yes,no
1581,Jared Burton,Minnesota Twins,2012,yes,yes
1582,Ryan Madson,Cincinnati Reds,2012,yes,yes
1583,Jamie Moyer,Colorado Rockies,2012,yes,yes
1584,Jorge De La Rosa,Colorado Rockies,2012,yes,yes
1585,Josh Outman,Colorado Rockies,2012,yes,yes
1587,Ted Lilly,Los Angeles Dodgers,2012,yes,yes
1588,Sergio Escalona,Houston Astros,2012,yes,yes
1589,Clay Rapada,New York Yankees,2012,yes,yes
1590,Tim Stauffer,San Diego Padres,2012,yes,yes
1591,Kyle Farnsworth,Tampa Bay Rays,2012,yes,yes
1592,Scott Linebrink,St. Louis Cardinals,2012,yes,yes
1593,Dustin Moseley,San Diego Padres,2012,yes,yes
1594,Doug Fister,Detroit Tigers,2012,yes,yes
1595,George Sherrill,Seattle Mariners,2012,yes,yes
1597,Todd Coffey,Los Angeles Dodgers,2012,yes,yes
1599,Sergio Santos,Toronto Blue Jays,2012,yes,no
1600,Brian Wilson,San Francisco Giants,2012,yes,yes
1604,Jeff Karstens,Pittsburgh Pirates,2012,yes,yes
1605,Kerry Wood,Chicago Cubs,2012,yes,yes
1606,Chris Narveson,Milwaukee Brewers,2012,yes,yes
1607,Cliff Lee,Philadelphia Phillies,2012,yes,yes
1608,Greg Holland,Kansas City Royals,2012,yes,no
1609,Daniel Hudson,Arizona Diamondbacks,2012,yes,no
1611,Ryan Dempster,Chicago Cubs,2012,yes,yes
1612,Kameron Loe,Milwaukee Brewers,2012,yes,no
1614,Daniel Schlereth,Detroit Tigers,2012,yes,no
1615,Michael Bowden,Chicago Cubs,2012,yes,yes
1616,Michael Stutes,Philadelphia Phillies,2012,yes,no
1617,Mike Pelfrey,New York Mets,2012,yes,no
1619,Bill Bray,Cincinnati Reds,2012,yes,no
1620,Matt Guerrier,Los Angeles Dodgers,2012,yes,yes
1621,Micah Owings,San Diego Padres,2012,yes,yes
1622,Kyle Weiland,Houston Astros,2012,yes,no
1623,Brad Lidge,Washington Nationals,2012,yes,yes
1625,Rafael Perez,Cleveland Indians,2012,yes,yes
1626,Jesse Crain,Chicago White Sox,2012,yes,yes
1627,Jeremy Guthrie,Colorado Rockies,2012,yes,no
1630,Jeremy Affeldt,San Francisco Giants,2012,yes,yes
1631,David Herndon,Philadelphia Phillies,2012,yes,yes
1632,Cory Luebke,San Diego Padres,2012,yes,no
1633,Rhiner Cruz,Houston Astros,2012,yes,no
1637,Mariano Rivera,New York Yankees,2012,yes,no
1638,Ernesto Frieri,Los Angeles Angels,2012,yes,yes
1640,Huston Street,San Diego Padres,2012,yes,yes
1642,Aaron Cook,Boston Red Sox,2012,yes,yes
1645,Guillermo Mota,San Francisco Giants,2012,yes,yes
1646,Jhoulys Chacin,Colorado Rockies,2012,yes,no
1647,LaTroy Hawkins,Los Angeles Angels,2012,yes,yes
1649,Jonathan Sanchez,Kansas City Royals,2012,yes,yes
1650,Joe Wieland,San Diego Padres,2012,yes,no
1651,Matt Lindstrom,Baltimore Orioles,2012,yes,yes
1653,Carlos Marmol,Chicago Cubs,2012,yes,yes
1654,Josh Tomlin,Cleveland Indians,2012,yes,yes
1655,Danny Duffy,Kansas City Royals,2012,yes,no
1657,Jeff Niemann,Tampa Bay Rays,2012,yes,yes
1659,David Robertson,New York Yankees,2012,yes,no
1660,Travis Blackley,Oakland Athletics,2012,yes,no
1661,Vance Worley,Philadelphia Phillies,2012,yes,no
1662,Lendy Castillo,Chicago Cubs,2012,yes,no
1663,Nick Blackburn,Minnesota Twins,2012,yes,yes
1664,Kyle McClellan,St. Louis Cardinals,2012,yes,yes
1665,Eric Stults,San Diego Padres,2012,yes,yes
1667,Jason Grilli,Pittsburgh Pirates,2012,yes,yes
1668,Miguel Batista,New York Mets,2012,yes,no
1669,Brandon McCarthy,Oakland Athletics,2012,yes,yes
1670,Neftali Feliz,Texas Rangers,2012,yes,yes
1671,Ryan Mattheus,Washington Nationals,2012,yes,yes
1674,Marco Estrada,Milwaukee Brewers,2012,yes,no
1675,John Danks,Chicago White Sox,2012,yes,yes
1677,Fernando Abad,Houston Astros,2012,yes,no
1679,Stu Pomeranz,Baltimore Orioles,2012,yes,no
1683,Jered Weaver,Los Angeles Angels,2012,yes,yes
1684,Roy Halladay,Philadelphia Phillies,2012,yes,yes
1690,Juan Nicasio,Colorado Rockies,2012,yes,yes
1691,Javy Guerra,Los Angeles Dodgers,2012,yes,no
1693,Carl Pavano,Minnesota Twins,2012,yes,no
1694,Jordan Norberto,Oakland Athletics,2012,yes,yes
1695,Ramon E Ramirez,New York Mets,2012,yes,no
1698,Blake Parker,Chicago Cubs,2012,yes,no
1699,Andrew Carignan,Oakland Athletics,2012,yes,no
1700,Jaime Garcia,St. Louis Cardinals,2012,yes,yes
1701,Derek Holland,Texas Rangers,2012,yes,no
1702,Henry Alberto Rodriguez,Washington Nationals,2012,yes,yes
1705,Freddy Garcia,New York Yankees,2012,yes,yes
1706,Chris Young,New York Mets,2012,yes,yes
1712,Koji Uehara,Texas Rangers,2012,yes,yes
1713,Brandon Morrow,Toronto Blue Jays,2012,yes,yes
1714,Alexi Ogando,Texas Rangers,2012,yes,yes
1715,Octavio Dotel,Detroit Tigers,2012,yes,yes
1716,Michael Kirkman,Texas Rangers,2012,yes,no
1719,Drew Smyly,Detroit Tigers,2012,yes,no
1720,P.J. Walters,Minnesota Twins,2012,yes,no
1721,Wilton Lopez,Houston Astros,2012,yes,yes
1722,Kyle Drabek,Toronto Blue Jays,2012,yes,no
1723,Josh Beckett,Boston Red Sox,2012,yes,yes
1724,Drew Hutchison,Toronto Blue Jays,2012,yes,no
1725,Sandy Rosario,Miami Marlins,2012,yes,no
1726,Brandon Beachy,Atlanta Braves,2012,yes,yes
1727,Bud Norris,Houston Astros,2012,yes,yes
1731,Jeremy Hellickson,Tampa Bay Rays,2012,yes,no
1735,Philip Humber,Chicago White Sox,2012,yes,yes
1737,David Pauley,Toronto Blue Jays,2012,yes,yes
1738,Shaun Marcum,Milwaukee Brewers,2012,yes,yes
1739,Bartolo Colon,Oakland Athletics,2012,yes,yes
1742,Clay Buchholz,Boston Red Sox,2012,yes,yes
1744,Anthony Bass,San Diego Padres,2012,yes,no
1745,Frank Francisco,New York Mets,2012,yes,yes
1746,Robert Coello,Toronto Blue Jays,2012,yes,no
1747,Matt Capps,Minnesota Twins,2012,yes,no
1749,Colby Lewis,Texas Rangers,2012,yes,yes
1751,CC Sabathia,New York Yankees,2012,yes,no
1753,Andy Pettitte,New York Yankees,2012,yes,yes
1754,Mark Lowe,Texas Rangers,2012,yes,yes
1755,Brian Bruney,Chicago White Sox,2012,yes,yes
1756,Shane Loux,San Francisco Giants,2012,yes,yes
1757,Edward Mujica,Miami Marlins,2012,yes,yes
1758,Joel Peralta,Tampa Bay Rays,2012,yes,no
1765,Andrew Cashner,San Diego Padres,2012,yes,yes
1768,Jonny Venters,Atlanta Braves,2012,yes,no
1769,Dan Haren,Los Angeles Angels,2012,yes,no
1771,Luis Perez,Toronto Blue Jays,2012,yes,no
1772,Raul Valdes,Philadelphia Phillies,2012,yes,no
1773,Dillon Gee,New York Mets,2012,yes,no
1779,Jordan Walden,Los Angeles Angels,2012,yes,no
1780,Jason Hammel,Baltimore Orioles,2012,yes,yes
1782,Gavin Floyd,Chicago White Sox,2012,yes,no
1786,Chad Billingsley,Los Angeles Dodgers,2012,yes,yes
1787,Charlie Furbush,Seattle Mariners,2012,yes,no
1792,Johan Santana,New York Mets,2012,yes,yes
1794,Jeremy Guthrie,Kansas City Royals,2012,yes,yes
1796,J.A. Happ,Toronto Blue Jays,2012,yes,no
1797,Brandon Lyon,Toronto Blue Jays,2012,yes,yes
1798,Jason Frasor,Toronto Blue Jays,2012,yes,no
1801,Juan Carlos Oviedo,Miami Marlins,2012,yes,yes
1804,Anibal Sanchez,Detroit Tigers,2012,yes,yes
1805,Wandy Rodriguez,Pittsburgh Pirates,2012,yes,yes
1806,Anthony Swarzak,Minnesota Twins,2012,yes,no
1807,Nathan Eovaldi,Miami Marlins,2012,yes,no
1808,Scott Elbert,Los Angeles Dodgers,2012,yes,no
1809,Francisco Liriano,Chicago White Sox,2012,yes,yes
1810,Joe Thatcher,San Diego Padres,2012,yes,yes
1812,Tommy Hanson,Atlanta Braves,2012,yes,yes
1814,Scott Downs,Los Angeles Angels,2012,yes,yes
1815,Chad Qualls,Pittsburgh Pirates,2012,yes,no
1816,Edward Mujica,St. Louis Cardinals,2012,yes,yes
1817,Jonathan Broxton,Cincinnati Reds,2012,yes,yes
1818,Craig Breslow,Boston Red Sox,2012,yes,no
1819,Paul Maholm,Atlanta Braves,2012,yes,yes
1820,Ryan Dempster,Texas Rangers,2012,yes,yes
1822,Tim Byrdak,New York Mets,2012,yes,yes
1824,Francisco Cordero,Houston Astros,2012,yes,no
1827,Christian Friedrich,Colorado Rockies,2012,yes,no
1828,Jonathan Sanchez,Colorado Rockies,2012,yes,yes
1829,A.J. Griffin,Oakland Athletics,2012,yes,no
1831,Jose Mijares,San Francisco Giants,2012,yes,yes
1833,Matt Garza,Chicago Cubs,2012,yes,yes
1834,Steve Johnson,Baltimore Orioles,2012,yes,no
1841,Edgmer Escalona,Colorado Rockies,2012,yes,yes
1843,Brian Fuentes,St. Louis Cardinals,2012,yes,yes
1845,Troy Patton,Baltimore Orioles,2012,yes,yes
1847,Brad Penny,San Francisco Giants,2012,yes,yes
1850,Mark Rogers,Milwaukee Brewers,2012,yes,no
1855,Leyson Septimo,Chicago White Sox,2012,yes,no
1858,Felix Doubront,Boston Red Sox,2012,yes,yes
1866,Alex Hinshaw,Chicago Cubs,2012,yes,no
1870,Jeremy Horst,Philadelphia Phillies,2012,yes,no
1871,Ivan Nova,New York Yankees,2012,yes,yes
1872,Jason Marquis,San Diego Padres,2012,yes,yes
1874,Jeremy Hefner,New York Mets,2012,yes,no
1878,Ben Sheets,Atlanta Braves,2012,yes,yes
1881,Hisanori Takahashi,Pittsburgh Pirates,2012,yes,no
1884,Dale Thayer,San Diego Padres,2012,yes,no
1886,Matt Lindstrom,Arizona Diamondbacks,2012,yes,yes
1888,Franklin Morales,Boston Red Sox,2012,yes,yes
1890,Joe Saunders,Baltimore Orioles,2012,yes,yes
1894,Clay Hensley,San Francisco Giants,2012,yes,yes
1895,Zach Stewart,Boston Red Sox,2012,yes,no
1903,Josh Collmenter,Arizona Diamondbacks,2012,yes,no
