,player,team,year,injured,previous
6064,Bobby Wahl,New York Mets,2018,yes,yes
6065,Mike Montgomery,Chicago Cubs,2018,yes,yes
6067,Blaine Hardy,Detroit Tigers,2018,yes,yes
6080,JT Chargois,Los Angeles Dodgers,2018,yes,yes
6081,Tommy Milone,Washington Nationals,2018,yes,yes
6084,Aroldis Chapman,New York Yankees,2018,yes,yes
6086,Luis Avilan,Philadelphia Phillies,2018,yes,yes
6088,Neil Ramirez,Cleveland Indians,2018,yes,yes
6094,Bartolo Colon,Texas Rangers,2018,yes,yes
6099,Jarlin Garcia,Miami Marlins,2018,yes,yes
6101,Nick Gardewine,Texas Rangers,2018,yes,no
6102,Mike Mayers,St. Louis Cardinals,2018,yes,no
6105,Sean Manaea,Oakland Athletics,2018,yes,yes
6106,Marco Gonzales,Seattle Mariners,2018,yes,no
6111,Clayton Richard,San Diego Padres,2018,yes,yes
6114,Charlie Morton,Houston Astros,2018,yes,yes
6120,Robert Stephenson,Cincinnati Reds,2018,yes,yes
6123,Pablo Lopez,Miami Marlins,2018,yes,no
6129,Kendall Graveman,Oakland Athletics,2018,yes,yes
6130,Cory Gearrin,Oakland Athletics,2018,yes,yes
6136,Gio Gonzalez,Milwaukee Brewers,2018,yes,yes
6137,Xavier Cedeno,Milwaukee Brewers,2018,yes,yes
6141,Jose Mujica,Tampa Bay Rays,2018,yes,no
6142,Brock Stewart,Los Angeles Dodgers,2018,yes,yes
6148,Mark Leiter Jr.,Toronto Blue Jays,2018,yes,yes
6152,Zack Godley,Arizona Diamondbacks,2018,yes,no
6153,Keury Mella,Cincinnati Reds,2018,yes,no
6154,Joe Biagini,Toronto Blue Jays,2018,yes,no
6165,Michael Kopech,Chicago White Sox,2018,yes,no
6189,Eric Hanhold,New York Mets,2018,yes,no
